case_id,primary_subject,complaint_narrative,scam_type,website,screenshot_detail_url,screenshot_actual_url,screenshot_local
63,CWGmain,"A California resident reports meeting “Yilin” online, who promised an investment opportunity for “electric gold”, a type of digital gold currency. Following Yilin’s instructions, the resident wired money to the Fraudulent Trading Platform “CWG Main”. At one point, the resident believed their account had grown to approximately $289,000 on the platform. But when they tried to withdraw funds, the platform demanded they pay $49,000 for “taxes” to withdraw their funds. The resident has been unable to recover any funds and the website is no longer operational. All told the victim lost more than $91,000 on the platform.","Pig Butchering Scam

Fraudulent Trading Platform",CWGMain.cc,,,
64,"fourggearstools.com
fourgventures.com
regul-finance.com 
FourG Ventures","A resident received a brokerage company advertisement via social media. After responding to the advertisement, ”Anastasia” contacted the victim via  WhatsApp claiming to be an advisor and convinced them to join the trading platform, fourgearstools.com. “Alexy” contacted the victim on WhatsApp claiming to be an advisor for “fourgearstools.com”. Following Alexey’s instructions, the victim transferred crypto assets onto the platform. But when they tried to withdraw funds, the platform demanded they pay $3,838 to “clear a transaction linked with AML (anti-money laundering) violations”. The resident has been unable to retrieve any of their funds and the website is no longer operational. All told the victim, lost $8,636.69 on the platform.

The domain, fourgearstools.com, has been seized by the Kings County District Attorney's Office in New York and the New York Department of Financial Services.","Pig Butchering Scam

Fraudulent Trading Platform","fourggearstools.com

fourgventures.com

regul-finance.com",,,
65,cbesx.com,"A California victim reports receiving  an email from “Mr. Benjamin” who claimed to be part of a finance team for an investment company called CBESX. The victim responded, and Mr. Benjamin instructed the victim how to open an account on the CBESX platform at http://cbesx.com/ to trade crypto assets. The victim sent money to the account and began trading, and at one point, believed their account had grown to more than $230,000. But when the victim tried to withdraw funds from the platform, the platform demanded they pay a 10% commission fee, totalling $23,000, to the crypto asset wallet USDT ERC20 at: 0x6203BD87e38D994B96Da5e106F1eD7B55019a693. The victim paid but has not able to withdraw their money. The website is no longer operational.",Fraudulent Trading Platform,cbesx.com,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/cbesx-com-email-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/07/CBESX1000.jpg,screenshots_v2\case_065.jpg
66,"Crypto-rd.top
(Entity impersonating Crypto.com)","Two California consumers report on their experience with the crypto asset trading platform crypto-rd.top. 

The first victim was introduced to cryptocurrency trading by an acquaintance who directed them to a DeFi Wallet platform located at Crypto-rd.top. The victim opened an account on the platform and began trading. But when the victim tried to access their funds, the platform demanded multiple fees including a platform fee, a “Know Your Customer” fee, and a “maintenance” fee, and another fee to release assets through the European Securities and Exchange Commission before they would release the funds. The victim has been unable to access any of their funds.

The consumer sent BTC to 3ES9qFnB35pTYV6frG59AUtgCtDMCKZ6nu and ETH to 0x0BFE55CbaB96AC7c9e6f2995D7BE9356fC5a9639.

The second victim lost access to their Crypto-rd.top platform wallet but then received a letter from “Rafael,” who claimed their wallet access would be fully restored if they paid the platform $75,000. The victim paid but did not regain access to their account and remain unable to withdraw any funds. The platform is no longer in operation. 

This is not to confused with legitimate crypo exchange, Crypto.com.","Pig Butchering Scam

Fraudulent Trading Platform",www.crypto-rd.top,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/crypto-rd-top-deposit-page-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/07/crypto-rd.top-page-640.jpg,screenshots_v2\case_066.jpg
67,RIOT Blockchain (Entity impersonating Riot Platforms),"A California resident reports they were contacted by Diana via WhatsApp, who offered them a job as a freelance crypto asset miner for the RIOT Blockchain platform, with no restrictions or set schedule and the ability to work remotely. The victim accepted the offer, completed all their training and was ready to begin working as a miner. At that point, the platform demanded the victim deposit their own funds first. The victim did so and worked daily, getting rewards for completing each task. However, the platform kept asking the victim to deposit increasing amounts of their own money to continue working. Further, the platform wouldn’t allow withdrawals unless the victim increased their “credibility rating” by depositing more funds. Eventually, the victim had to borrow money to continue to be able to work on the RIOT mining platform. Despite depositing nearly $81,000, the platform never allowed the victim to withdraw their funds. 

This is not to be confused with the investment company, Riot Platforms at https://www.riotplatforms.com/","Pig Butchering Scam

Crypto Job Scam",,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/homepage-riot-blockchain/,https://dfpi.ca.gov/wp-content/uploads/2025/08/RIOT-Homepage-640.jpg,screenshots_v2\case_067.jpg
68,cbotbit.com,"A California resident met “Lin” through WhatsApp who steered the conversation to investing in crypto assets. Lin directed the victim to the crypto asset trading platform, CBOTBIT, located at https://cbotbit.com and showed them how to open an account and transfer funds. Following Lin’s instructions for trading, the victim believed their  account had grown substantially. But when the victim tried to withdraw funds from the platform, they were unable to do so. The website is no longer operational.  All told, the victim believed they lost more than $40,000.","Pig Butchering Scam

Fraudulent Trading Platform",https://cbotbit.com,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/cbotbit-com-homepage-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/07/Cbotbit-Homepage640.jpg,screenshots_v2\case_068.jpg
69,Cypo,"A Californian reports on a crypto asset trading site known as “Cypo”, located at eth-cryp.com.  The victim was introduced to the site by a woman they met on a dating app.  The woman communicated with the victim on WhatsApp and also had several video calls with the victim.  In the calls, the woman showed the victim her crypto investment strategy, which she claimed would work whether crypto prices went up or down.  The woman asked the victim to invest with her on eth-cryp.com, so she could help them earn money using her strategy.  The victim decided to invest $34,000 and over time, believed the trading strategy made them over $150,000.  However, when the victim tried to withdraw profits, they were told they first had to pay $31,000 in taxes on their investment, and that this payment could not be deducted from their account balance.  The victim was eventually able to withdraw $2,000, but they could not access the rest of their funds.  The site is no longer operational.","Pig Butchering Scam

Fraudulent Trading Platform","https://eth-cryp.com/#/ 
exp.gs-cdn.com",https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/eth-cryp-com-homepage-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/07/eth-cryp.com-Homepage-640.png,screenshots_v2\case_069.png
70,BiveCoin,"A Californian resident reports on their experience with a crypto asset company, BiveCoin, which uses the web address bive-coinrhub.top. The resident invested funds in the company but has since been unable to get in contact with a representative or recover any invested funds. The website is no longer operational.",Fraudulent Trading Platform,bive-coinrhub.top,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/bive-cornrhub-top-assets-page-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/07/Bive-cornrhub.top-assets-640.png,screenshots_v2\case_070.png
71,Coindf,"A California resident reports on their experience with the  crypto asset trading platforms, Crypto Chain and Coindf. The individual deposited money on both platforms and believed they were successfully trading crypto assets. But when the victim attempted to withdraw funds, the platform demanded they pay ”taxes” of 30% before they could withdraw their funds. All told the victim lost more than $1 million. The website is no longer operational.",Fraudulent Trading Platform,https://www.coindf.com,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/coindf-com-page-fraudulent-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/07/Coindf.com-Page-640.png,screenshots_v2\case_071.png
72,idghc.com,"A California resident reports seeing an Instagram ad for a WhatsApp group that engaged in crypto asset trading. The resident engaged with the group and met an online “advisor” who directed them to a crytpo asset trading platform located at https://www.idghc.com. Following the advisor’s instructions, the resident opened an account on the platform and began trading. But then the victim received an email stating that their account was flagged and reports that they can no longer access their account on idghc.com and have been unable to recover their funds. The website is no longer operational. All told the victim has lost more than $150,000.","Investment Group Scam

Fraudulent Trading Platform",idghc.com,,,
73,C2C TG DEX,"Two California residents report on their experience with the crypto asset trading platform C2C TG DEX, located at http://www.TGDEXCustomerService.com.

The first victim reports they were contacted by an individual through Telegram. Over time the individual gained the victim’s trust. At some point the individual steered the conversation to investing, claiming to be an investment advisor associated with a consulting company. The individual told the victim about the C2C TG DEX platform. Following the individual’s instructions, the victim deposited funds on the platform to begin trading. But when the victim tried to withdraw, the C2C TG DEX platform blocked their access. The victim has not been able to withdraw their funds. 

Another victim reports investing funds on the C2C TG DEX platform. When the victim tried to withdraw their funds, the platform demanded that they pay “taxes” first. The victim has not paid the tax and has not been able to withdraw their funds. The platform is no longer operational.","Pig Butchering Scam

Fraudulent Trading Platform",http://www.TGDEXCustomerService.com,,,
74,capnovas.com,"A California resident reports that an individual reached out to them on Instagram. The individual showed the victim their account statements from the crypto asset trading platform, capnovas.com, and claimed they had earned large profits trading on the platform. The individual said the victim could receive large profits too if they copied their trading method. The individual put the victim in touch with a “Trading Account Manager” from the platform. The Manager showed the victim how to open an account on the platform and transfer crypto assets into the account. Then, the Manager showed the victim how to do a “test trade” in their account. The Manager claimed the victim made more than $1,000 in this test trade. Then the Manager told the victim to send more money immediately. The victim did not send the money and now is unable to withdraw any of their funds from the platform. The website is no longer operational.","Pig Butchering Scam

Fraudulent Trading Platform",capnovas.com,,,
75,"sparkppap.com
Spark Capital","A California resident reports that they were a victim of an investment scam involving the entity Spark Capital, which sought “testers” for a software program called SPARK PPAP Wisdom System that purported to deliver AI-powered cryptocurrency trading signals.

The California resident reports seeing ads for an AI cryptocurrency software company on Facebook. The company, Spark Capital, was looking for “testers” of its software program, SPARK PPAP Wisdom System that purportedly gave AI-powered cryptocurrency trading signals. The ad featured prominent media personalities who claimed that “they were going to make 10 people millionaires within the next 2 weeks.” SPARK Capital claimed it would give each tester crypto assets to fund an account on the platform which they would then use to trade crypto assets. But then they told the resident they needed to pay  $5,000 to get the trading signals. Later, SPARK Capital increased the amount to $50,000. The victim transferred large sums of money to the platform based on promises of high returns from between 500% to 2000%. But now the victim is unable to withdraw any of their funds. The website is no longer operational.","AI Investment Scam

Fraudulent Trading Platform",sparkppap.com,,,
76,"SW Seeds for Wealth Alliance
Roycoin","A California victim reports they found a Facebook group called Seeds for Wealth Alliance (SWA)which claimed to be a crypto advising agency that worked with the crypto platform Roycoin. Someone from the Facebook group reached out to the victim and instructed them to how to download a app called RCN Hub to set up an account and trade. The victim started with small deposits and reportedly saw their account grow quickly. The Facebook group continuously encouraged the victim to deposit more funds, and at one point, the victim believed their account had grown to more than  $65 million. But when the victim attempted to withdraw some of their funds, the app demanded they pay fees first. The victim has been unable to withdraw their money and the website is no longer operations. All told, the victim lost more than $900,000.",Fraudulent Trading Platform,http://www.roycoin.net,,,
77,www.wpake.top,"A California resident met “Caroline” online who directed them to a WhatsApp investing group chat led by “Matthew” who claimed to work for a well-known investment company. Matt sent global financial news to the group daily and regularly provide trade signals for the group to follow on the crypto asset trading platform WPAKE located at  http://www.wpake.top/. 

Matt also advised the group to “FT Coin” and invest in the initial exchange offering of the platform, MindCoin, by purchasing the “Mind Token”. After following the trading signals, and purchasing the crypto asset coins, the victim believed they were making lots of money. But when they tried to withdraw funds, the platform demanded a management fee of $419,000. The victim paid but was then told their account was under review, after which the platform demanded even more fees.  Finally, the WPAKE platform told the victim it had frozen their account was frozen and requested a $250,000 service fee before they could withdraw. 

All told, the resident reported losing $2.6 million and sent funds to the following wallet addresses:

14itb31JfSWRWrwbfqxiDPFdrahkMTMift
0x09c8100e3796cc45cdf4c0c272ec65032c7b2b7f
0x4B72050B4387216A24688A58E8D3470Bd4eEA1a7

The website is no longer operational.","Investment Group Scam

Fraudulent Trading Platform",www.wpake.top,,,
78,neweraiscoming.tech,"A Californian reports on a crypto mining platform called, “neweraiscoming.tech” that promised 10% daily returns to investors.  The victim joined the site’s “VIP pool” for a month, during which they believed they could stake their crypto assets to make money.  The victim sent $100,000 to the site for staking.  The victim believed that the staking process made them over $1.3 million.

When the victim tried to withdraw, they were told they had to first make two “verification payments” of $67,000 and $58,000.  The victim has been unable to withdraw any of their funds from the site.  The site is no longer operational.","Liquidity Mining Scam

Fraudulent Trading Platform",http://neweraiscoming.tech/,,,
79,muhus.com,"A Californian reports a site called “muhus.com” that offered a promotional reward of 0.33 Bitcoin to new users.  However, when the victim joined, they did not receive the free Bitcoin.  Instead, they were repeatedly asked to send money to the site.  The victim never received the free Bitcoin as advertised.  The site is no longer operational.",Crypto Giveaway/Airdrop Scam,muhus.com,,,
80,https://x-aitokens.net/,"A California resident reports on their experience with the website https://x-aitokens.net/presale, which they believed was backed by high-profile individuals. The victim sent $857.61 worth of crypto assets to a wallet address, but did not receive what they purchased. The individual has been unable to recover their funds, and the website is not operational. 

Bitcoin Wallet Address: bc1q2nqnpcua000t9vxdnx60dh4aexywhqs26qheld",Fraudulent Trading Platform,https://x-aitokens.net/presale/,,,
81,Gemini Pro X,"A California resident reports on their encounter with the crypto asset trading group, Gemini Pro X, located at geminiprom.com,  which they discovered on WhatsApp. The trading group asked the victim to deposit crypto assets onto the platform to begin trading. Following the group’s advice, the victim believed they had doubled their money. The victim attempted to trade on their own through the platform, but was subsequently blocked from further trading and denied access to withdraw any of their money. The website is not operational.","Investment Group Scam

Fraudulent Trading Platform",http://geminiprom.com/,,,
82,LoomXpress.com,"A Californian resident reports on their experience with a crypto asset exchange operating on the web address LoomExpress.com. The resident held funds in an account there, but when they tried to withdraw some, representatives from LoomExpress demanded various fees and taxes. The resident has not recovered any of their original invested funds. The website is no longer operational.","Pig Butchering Scam

Fraudulent Trading Platform",https://www.loomxpress.com/,,,
83,TSAI Exchange,"A California resident reports on their experience with the TSAI crypto asset exchange which operated on the website techstarvoip.com. The resident learned about TSAI through WhatsApp, opened an account on the exchange, and transferred crypto assets to a wallet address. TSAI Exchange collected the resident’s personal identifying information such as emails, addresses, and phone numbers. The resident has been unable to recover their funds from the exchange. The website is no longer active.","Pig Butchering Scam

Fraudulent Trading Platform","http://www.techstarvoip.com/
https://office.techstarvoip.com/",,,
84,Horizon Pro Financial,"A California resident reports meeting an individual through the app TikTok, who convinced the resident to invest in cryptocurrency on a crypto asset exchange operating on the website horizonprofinancial.com. After depositing funds and trading, the resident attempt to withdraw, but the platform (Horizon Pro Financial) denied the request, stating that a fee was required. To date, the resident has not recovered any of their invested funds. The website is no longer operational.","Pig Butchering Scam

Fraudulent Trading Platform",horizonprofinancial.com,,,
85,Noel Crypto,"Two California consumers report on their experiences with a company called Noel Crypto Investment, which promised they would return ten times on an investment within six months. 

The first consumer opened an account and invested money. But as the payout date approached, the company demanded that the consumer deposit more money before it would release the funds. The consumer declined to make the additional payment. Shortly afterward, they were unable to access their account and were informed by a company representative that all account information had been deleted. The consumer has not been able to recover their funds or access their account. 

A second California consumer reports that the Noel Crypto platform informed members that after a system update, users needed to deposit additional funds or their accounts would be deleted. The platform blocked access to that consumer’s account, and they have not been able to recover any funds.",Fraudulent Trading Platform,,,,
86,"Strike Chain Inc 
Summit Wealth Investment Education Foundation","A California resident reports being invited to an online investment group called the Summit Wealth Investment Education Foundation by “Pedro” and “Emily” who promised they could earn profits trading in crypto assets if they opened an account on the crypto asset trading platform Strike Chain Inc. Following Pedro and Emily’s instructions, the victim opened an account on the platform and signed an investment agreement. The resident transferred money to platform and began trading. Once the trading period in the agreement had ended, the resident received a “Donation Receipt Certificate” from the platform, claiming that $85,000 of the profits had been donated to a foundation. But when the victim tried to withdraw the remaining profits, they received a notification stating that funds could not be released as the platform was under “MSB investigation”. All told, the victim lost $145,000. The website is no longer operational.

The resident reported the following wallet address to be associated with the scam: 1HTnTLQyyL2fjPxpzhah6afjKKCsnVuhz6.","Investment Group Scam

Fraudulent Trading Platform",https://www.chainbitcoins.com/#/home,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/strike-chain-inc-donation-receipt-fraudulent-trading-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/07/Donation-Receipt-Certificate-scaled.jpg,screenshots_v2\case_086.jpg
87,"AEL Exchange Wealth Management LTD
aelexchange.com
AELs-Exchange.com wealthfrontstock.com","Two California residents report on their experience with a fraudulent crypto asset exchange operating at AELs-Exchange.com. The first victim reports seeing an ad on Instagram inviting people to join a WhatsApp group claiming to help group members make money through trading, based on signals of someone claiming to work for a well known investment company. Following the group members’ instructions, the victim downloaded the AEL platform, sent crypto assets to the account, and subsequently executed trades based on their trading signals. After lots of ups and down, the group was told all the money had been lost trading. All told the victim lost $23,000.

Another victim was led to the AELs-Exchange.com platform after learning about it through the same WhatsApp chat group described above. Following the group’s instructions, the victim opened an account on the AELs-Exhcnage.com and transferred funds for trading. But when they tried to withdraw their funds, the site blocked their account and demanded $33,000 before it would allow the withdrawal. The victim has been unable to recover their funds. The websites AELs-Exchange.com, https://wealthfrontstock.com, http://www.aelexchange.com are no longer operational.
The second victim also reports opening a trading account on the crypto asset exchange wealthfrontstock.com, but the site demanded a commission before allowing a withdrawal of funds. The website is currently operational.","Investment Group Scam

Fraudulent Trading Platform

Imposter Scam","AELs-Exchange.com
http://wealthfrontstock.com/",https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/ael-exchange-wealth-whatsapp-group-chat-investment-group-scam/,https://dfpi.ca.gov/wp-content/uploads/2025/07/AEL-640.png,screenshots_v2\case_087.png
88,"alpha2iota.com
h5.coinbrdbge.me
Coin Bridge Partners LTC
(cont.)","Two California residents report on the experience with the  crypto trading platform  operating at alpha2iota.com. 

The first resident reports being invited online by “Quinn” to a WhatsApp group led by “Professor Smith”. In the group chat, Professor Smith claimed he had an AI trading tool and wanted the group to do beta testing before he brought it to market through an IPO. He also claimed to be developing an “ASI” coin attached. Smith also invited members of the group to open an account on the crypto asset trading platform on https://www.alpha2iota.com/ where he would give them trading signal they could follow to make profits. Professor Smith instructed the victim how to download an app for the platform. The victim transferred money onto the platform and believed that their account went up to $29,000. However, the victim has not been able to recover any fund from the platform. All told, the resident lost $7,000. The website is no longer operational.","Investment Group Scam

Fraudulent Trading Platform","https://www.alpha2iota.com/
H5.coinbridbge.me",https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/alpha2iota-com-login-page-fraudulent-trading-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/07/Alpha2iota.png,screenshots_v2\case_088.png
89,"alpha2iota.com
h5.coinbrdbge.me
Coin Bridge Partners LTC","The second resident was also contacted by “Quinn” who invited them to participate in group chats on WhatsApp and Telegram led by representatives of a trading education center called Alpha at alpha2iota.com. Quinn advised the resident to download the “CBP” trading app and transferred money to the platform through their crypto asset wallets. Quinn then directed the resident to join a trading program called “200% peat in 7 days” that promised huge returns if they followed certain trading signals. During the first few days of trading, the victim believe they had earned more than $41,000. But after following one trading signal, the resident lost all their money. To recover funds, Quinn recommended another trading program called “Stargate” that guaranteed profits of 400% in 4 months but required an upfront minimum investment of $50,000. The victim couldn’t pay, so Quinn offered an “exception” that would allow them to participate for only $7,000. The victim declined and has not been able to recover any funds. All told, the victim lost more than $26,000. 

The resident reported the following wallet address to be associated with the scam: 0x4459858f45429a273eea704d53b78ec6f25b97b4.","Investment Group Scam

Fraudulent Trading Platform","https://www.alpha2iota.com/
H5.coinbridbge.me",https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/alpha2iota-com-login-page-fraudulent-trading-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/07/Alpha2iota.png,screenshots_v2\case_089.png
90,morgarbits.com,"A Californian reports being introduced to the crypto trading site at morgarbits.com by a chat group on WhatsApp.  After participating in the chat group, the victim  invested $10,000 in crypto on the MorgarBits site.  Over time, the victim believed their balance had increased to over $50,000.  But when the victim tried to withdraw funds, a representative for the site said the account was under “SEC control” and therefore froze the account.  The victim has not been able to withdraw their funds and the site is no longer operational.  The victim reports the chat group referred to the trading site by various names including MorgarBits and ExpertExchangeTrades.","Investment Group Scam

Fraudulent Trading Platform",morgarbits.com,https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/morgarbits-com-homepage-fraudulent-trading-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/07/Morgarbits-Homepage640.jpg,screenshots_v2\case_090.jpg
91,"dimensionvip.com
dimensionalaccount.com
dimesioal.com","Two consumers have reported their experiences with the crypto trading platform www.dimensionvip.com. The first consumer was approached by “Ryan” about an investment opportunity.  Ryan instructed the victim to open an account on the platform, after which the consumer began trading. But when the victim tried to withdraw their funds, the platform demanded they deposit additional funds to get their money back. The victim has been unable to recover their funds.

The second consumer reports being invited to a WhatsApp investment club group called "" “Dimensional Fund Advisors"". A representative  of the group approached the consumer and instructed them how to open an account on the Dimension platform. After transferring crypto assets and trading on the platform, the victim believed they had earned profits.  However, the platform demanded they pay fees in order to access their funds. All told, the consumer lost at least $5,000 on the platform, which is no longer operational. The victim report sending funds to the following wallet addresses:

0x1D45F02c6D2729ba1AD8694597F51b0E4A0429A3
0x7fF3e940eA4Db870e294C89D2ad579C27aC33A80
0xd85b6EE53292bb0EEC259355C2B6471941D55002
0xd9eACc4C3be80AB34c65Cd51bB623aa8620cD919
0x490d095bBdfA1036E3ecAb18Cf3f5AD2Df73bf97","Investment Group Scam

Fraudulent Trading Platform

Pig Butchering Scam","dimensionvip.com
dimensionalaccount.com
dimesioal.com",https://dfpi.ca.gov/consumers/crypto/crypto-scam-tracker/dimensionvip-com-homepage-fraudulent-trading-platform/,https://dfpi.ca.gov/wp-content/uploads/2025/07/Dimensionvip640.png,screenshots_v2\case_091.png
92,cryptomo.net,"A California resident reports on their experience with the crypto asset trading platform, https://cryptomo.net. The victim reports they tried to withdraw funds from their account on the platform, but was asked for an additional deposit,  to verify the wallet before it would unlock the account. The website is no longer operational.","Pig Butchering Scam

Fraudulent Trading Platform",https://cryptomo.net,,,
93,Conxio.com,"A Californian reports about their experience with the crypto asset trading site, CoinKing, at conxio.com.  The victim created an account on CoinKing and provided a picture of their ID to open the account.  After depositing and trading their funds, the victim believed they had made over $50,000.  However, when they tried to withdraw some funds, a CoinKing customer service rep told them there was an “advanced verification” process for first-time withdrawals which required the victim to pay a fee equal to their entire account balance.  Then, the CoinKing rep demanded a 100% fee for a “risk audit” due to abnormal behavior detected on their account.  The victim did not pay and was unable to access any of their funds.  The site is no longer operational.",Fraudulent Trading Platform,Conxio.com,,,
94,taimhex.cc,"A California resident reported encountering a crypto trading WhatsApp group on Facebook. Following the group’s instructions, the victim opened an account on the crypto asset trading platform, https://taimhex.cc. However, after believing they had earned substantial profits, the resident attempted to withdraw money but was unsuccessful. All told they lost more than $1,000. The website is no longer operational.","Investment Group Scam

Fraudulent Trading Platform",https://taimhex.cc,,,
95,"TBAAPro.com
(Entity Impersonating Tech Brokerage Asset Alliance LTD)","A California resident reports on their experience with the crypto asset trading app, TBAAPro.com, which they learned about from a community on WhatsApp that gave advice about investing in crypto. The WhatsApp group, AWC-K154 Wealth Creators, was led by administrators who claimed to be part of a brokerage company called Tech Brokerage Asset Alliance (TBAA) and claimed to be licensed with the Securities and Exchange Commission. Following the group’s instructions, the resident downloaded the TBAA app and began trading on the platform. At one point, they believed their account held more than $100,000. They were even able to withdraw some funds at first. But when they tried to withdraw $50,000, the platform said it was conducting an “IRS verification” process and demanded that the resident pay a capital gains tax on their investment gains. The victim has been unable to withdraw their funds, and the app is no longer operational.

This is not to be confused with the SEC registered issuer, Tech Brokerage Asset Alliance LTD (CIK:0002030953). Please note that scammers may use information from public filing databases to appear legitimate. When receiving unexpected investment solicitations through messaging apps from people claiming to represent a licensed company, the Department recommends looking up the company’s contact information online and reaching out to confirm that the solicitation is legitimate.","Investment Group Scam

Fraudulent Trading Platform",TBAAPro.com,,,
96,"biticrypto.com
(cont.)","A California consumer reports meeting an individual identifying himself as Professor Dolan and his assistants, Denise and Katie, on WhatsApp. Dolan claimed he would teach the group about cryptocurrency for free for two months, after which he would charge a 20% fee. He and his team sent daily trading signals and encouraged members to invest through a crypto asset trading platform called BitiCrypto.","Investment Group Scam

Fraudulent Trading Platform",biticrypto.com,,,
97,biticrypto.com,"After observing for a few weeks, the consumer decided to begin trading by following the signals. Katie regularly checked in, offering help and encouraging the consumer to make larger deposits on the platform. Other group members convinced the consumer that they too were making money following Dolan’s advice.

In September 2024, Dolan launched a “Joint Trade Wealth Multiplication Plan,” and claimed more participants were joining rapidly, but warned against withdrawing funds. Shortly thereafter, the consumer received an email from support@biticrypto.com demanding a $72,000 fine be sent to the crypto wallet address: 0xAA3B939F645aA35CA830940B616919519F10C397

Other group members also received demands from Biticrypto to pay a fine. Panic spread in the group, but Denise instructed members pay the fines to the platform. When the victim expressed concern, they were removed from the group. They have not been able to recover any funds from the platform and the site is no longer operational.","Investment Group Scam

Fraudulent Trading Platform",biticrypto.com,,,
98,bkexwebs.com,"A California consumer reports about their experience with the trading platform called BKEX (https://bkexwebs.com/p/m). The victim believed they had a balance of around $100,000 in their account on the platform. When they tried to withdraw funds from the platform to their bank account, the platform demanded they pay $10,807.92 in ""prepaid taxes"" on their trading profits. 

BKEX refused to deduct the tax from the account balance and declined to cite any specific tax regulations justifying the demand. After several days of dispute, BKEX froze the consumer’s account and disabled login access. The consumer can neither access their account nor retrieve their deposited funds. The site is no longer in operation.",Fraudulent Trading Platform,https://bkexwebs.com,,,
99,vipido.net,"A California consumer reported being contacted by Alice and Hermann from the ""Hermann Lui Investment Club,"" on WhatsApp. 

Alice and Hermann then directed the consumer to a crypto trading platform called VIPIDO.net via the Coinbase wallet browser, promoting an IDO token project with promises of high returns for investments over $1 million. The consumer decided to invest $1 million on the platform. After the coin launch, VIPIDO.net represented that the investment had appreciated and could be converted to USDT. However, when the victim tried to sell the coin, the platform demanded an “institutional fee” of $188,000, payable only via wire transfer.

After paying the fee and selling the token, the consumer attempted to withdraw their profits but the platform demanded a 0.4% ""gas fee"" of $258,000. After paying, the platform then demanded a $140,800 ""expedite fee,"" and finally demanded an additional $50,000 “tip” to release the funds. The consumer declined to pay these fees. The victim has been unable to withdraw any of their funds and the VIPIDO.net website is no longer operational.","Investment Group Scam

Fraudulent Trading Platform",vipido.net,,,
100,web.ipye.com,"A Californian reports encountering a crypto education class advertised on Facebook. After signing up for the class, the resident was then added to a WhatsApp group by the name of XW8-Angel Dreamer Wealth Society Network. An associate, Jones, helped the victim set up an account on the crypto asset platform ipye.com and told  the victim she would deposit $700 of her own funds into the account. Jones subsequently walked the victim through how to make trades on the platform using the $700. The victim was able to successfully complete several transactions following Kayla’s instructions and was able to withdraw the money. 

After the initial success, Kayla introduced the Californian to another member of the WhatsApp group called ""the professor"" who also started providing trading recommendations and continually encouraged the victim to invest more funds. Following the group’s recommendations, the victim's funds appeared to be steadily gaining. But when the victim attempted to withdraw a larger amount, the IPYE platform froze the account. The website is non-operational, and the victim has not been able to recuperate their funds. All told, the victim lost approximately $45,000.","Investment Group Scam

Fraudulent Trading Platform",web.ipye.com,,,
101,https://cjbitvip.store,"A California resident reports joining a crypto asset trading platform, https://cjbitvip.store/#/pages/login/login, after seeing it promoted through YouTube videos. The victim began to invest and trade. But when the victim attempted to withdraw their profits, to the platform demanded they pay certain fees to receive their profits, including $4,000 for credit repair, $3,083 to open a “large-value channel” and $3,983 for capital gain tax. The victim paid the fees, but the platform demanded 30% of the account value before it would allow the withdrawal. The website is no longer operational, and the victim has been unable to recover their funds. 

This is not to be confused with the marketing platform CJ.com at https://www.cj.com/","Advance Fee Scam

Fraudulent Trading Platform",https://cjbitvip.store,,,
102,trtuner.top,"A California resident reports being approached on Facebook by “Huda” who claimed to be a Senior Web Designer at a marketing agency who had expertise in trading on Trust Wallet, promising the resident significant profits if they traded with her. Following Huda’s instructions, the victim deposited money into a trading platform introduced by Huda at www.trtuner.top. Huda then claimed she had executed a short-term trade that yielded 27% profit and even returned a portion of the funds back to the victim. Over time, the victim continued trading under Huda’s direction, believing that they were trading together as partners. Huda encouraged the victim to deposit ever larger amounts, claiming she was also putting money into the account as well. At one point, the victim believed the account was worth $190,000 on the platform. But when the victim tried to withdraw funds, the platform demanded they pay $39,500 in taxes. The victim paid, then tried to withdraw their funds, but was told their account had been frozen due concerns about money laundering. 

The platform demanded they pay another $30,000 to verify the account. The resident has been unable to recover the remaining funds from the account and the platform is no longer operational. All told, the resident lost more than $165,000.","Pig Butchering Scam

Fraudulent Trading Platform",www.trtuner.top,,,
